Location,Position,Start DateTime,End DateTime
ARC Dispatch,L2,2023-09-13 10:00 AM,2023-09-13 6:00 PM
ARC Dispatch,L2,2023-09-14 10:00 AM,2023-09-14 6:00 PM
LSM,L1,2023-09-05 8:00 AM,2023-09-05 10:00 AM
LSM,L1,2023-09-05 10:15 AM,2023-09-05 12:15 PM
LSM,L1,2023-09-05 12:30 PM,2023-09-05 2:30 PM
LSM,L1,2023-09-05 2:45 PM,2023-09-05 4:45 PM
LSM,L1,2023-09-05 5:00 PM,2023-09-05 7:00 PM
LSM,L1,2023-09-06 8:00 AM,2023-09-06 10:00 AM
LSM,L1,2023-09-06 10:15 AM,2023-09-06 12:15 PM
LSM,L1,2023-09-06 12:30 PM,2023-09-06 2:30 PM
LSM,L1,2023-09-06 2:45 PM,2023-09-06 4:45 PM
LSM,L1,2023-09-06 5:00 PM,2023-09-06 7:00 PM
LSM,L1,2023-09-07 8:00 AM,2023-09-07 10:00 AM
LSM,L1,2023-09-07 10:15 AM,2023-09-07 12:15 PM
LSM,L1,2023-09-07 12:30 PM,2023-09-07 2:30 PM
LSM,L1,2023-09-07 2:45 PM,2023-09-07 4:45 PM
LSM,L1,2023-09-07 5:00 PM,2023-09-07 7:00 PM
LSM,L1,2023-09-08 8:00 AM,2023-09-08 10:00 AM
LSM,L1,2023-09-08 10:15 AM,2023-09-08 12:15 PM
LSM,L1,2023-09-08 12:30 PM,2023-09-08 2:30 PM
LSM,L1,2023-09-08 2:45 PM,2023-09-08 4:45 PM
LSM,L1,2023-09-08 5:00 PM,2023-09-08 7:00 PM
LSM,L1,2023-09-09 8:00 AM,2023-09-09 10:00 AM
LSM,L1,2023-09-09 10:15 AM,2023-09-09 12:15 PM
LSM,L1,2023-09-09 12:30 PM,2023-09-09 2:30 PM
LSM,L1,2023-09-09 2:45 PM,2023-09-09 4:45 PM
LSM,L1,2023-09-09 5:00 PM,2023-09-09 7:00 PM
LSM,L1,2023-09-10 8:00 AM,2023-09-10 10:00 AM
LSM,L1,2023-09-10 10:15 AM,2023-09-10 12:15 PM
LSM,L1,2023-09-10 12:30 PM,2023-09-10 2:30 PM
LSM,L1,2023-09-10 2:45 PM,2023-09-10 4:45 PM
LSM,L1,2023-09-10 5:00 PM,2023-09-10 7:00 PM
LSM,L1,2023-09-11 8:00 AM,2023-09-11 10:00 AM
LSM,L1,2023-09-11 10:15 AM,2023-09-11 12:15 PM
LSM,L1,2023-09-11 12:30 PM,2023-09-11 2:30 PM
LSM,L1,2023-09-11 2:45 PM,2023-09-11 4:45 PM
LSM,L1,2023-09-11 5:00 PM,2023-09-11 7:00 PM
LSM,L1,2023-09-12 8:00 AM,2023-09-12 10:00 AM
LSM,L1,2023-09-12 10:15 AM,2023-09-12 12:15 PM
LSM,L1,2023-09-12 12:30 PM,2023-09-12 2:30 PM
LSM,L1,2023-09-12 2:45 PM,2023-09-12 4:45 PM
LSM,L1,2023-09-12 5:00 PM,2023-09-12 7:00 PM
LSM,L1,2023-09-13 8:00 AM,2023-09-13 10:00 AM
LSM,L1,2023-09-13 10:15 AM,2023-09-13 12:15 PM
LSM,L1,2023-09-13 12:30 PM,2023-09-13 2:30 PM
LSM,L1,2023-09-13 2:45 PM,2023-09-13 4:45 PM
LSM,L1,2023-09-13 5:00 PM,2023-09-13 7:00 PM
LSM,L1,2023-09-14 8:00 AM,2023-09-14 10:00 AM
LSM,L1,2023-09-14 10:15 AM,2023-09-14 12:15 PM
LSM,L1,2023-09-14 12:30 PM,2023-09-14 2:30 PM
LSM,L1,2023-09-14 2:45 PM,2023-09-14 4:45 PM
LSM,L1,2023-09-14 5:00 PM,2023-09-14 7:00 PM
Rodkin,L1,2023-09-18 4:00 PM,2023-09-18 6:15 PM
Rodkin,L1,2023-09-18 6:30 PM,2023-09-18 8:45 PM
Rodkin,L1,2023-09-19 4:00 PM,2023-09-19 6:15 PM
Rodkin,L1,2023-09-19 6:30 PM,2023-09-19 8:45 PM
Rodkin,L1,2023-09-20 4:00 PM,2023-09-20 6:15 PM
Rodkin,L1,2023-09-20 6:30 PM,2023-09-20 8:45 PM
Rodkin,L1,2023-09-21 4:00 PM,2023-09-21 6:15 PM
Rodkin,L1,2023-09-21 6:30 PM,2023-09-21 8:45 PM
Rodkin,L1,2023-09-22 4:00 PM,2023-09-22 6:15 PM
Rodkin,L1,2023-09-22 6:30 PM,2023-09-22 8:45 PM
